OrderDate,StockDate,OrderNumber,ProductKey,CustomerKey,TerritoryKey,OrderLineItem,OrderQuantity
1/1/2019,10/17/2002,SO48797,218,14335,1,1,1
1/1/2019,9/30/2002,SO48802,219,24923,9,1,1
1/1/2019,11/29/2002,SO48801,223,15493,1,1,1
1/1/2019,11/16/2002,SO48799,226,26708,4,1,1
1/1/2019,12/16/2002,SO48798,229,23332,9,1,1
1/1/2019,12/2/2002,SO48800,232,15491,5,1,1
1/1/2019,10/19/2002,SO48795,235,16538,8,1,1
1/1/2019,11/23/2002,SO48796,445,15094,7,1,1
1/2/2019,12/1/2002,SO48804,453,12276,8,1,1
1/2/2019,9/12/2002,SO48814,454,13647,9,1,1
1/2/2019,10/30/2002,SO48812,455,13630,9,1,1
1/2/2019,9/15/2002,SO48803,456,19416,10,1,1
1/2/2019,11/23/2002,SO48809,457,23411,9,1,1
1/2/2019,10/27/2002,SO48807,458,20892,10,1,1
1/2/2019,10/10/2002,SO48805,459,19318,7,1,1
1/2/2019,12/11/2002,SO48808,460,16552,8,1,1
1/2/2019,10/18/2002,SO48813,461,13631,9,1,1
1/2/2019,10/22/2002,SO48810,462,23415,9,1,1
1/2/2019,11/30/2002,SO48806,464,20885,10,1,1
1/2/2019,10/6/2002,SO48811,466,15517,4,1,1
1/3/2019,9/6/2002,SO48819,468,13622,9,1,1
1/3/2019,10/29/2002,SO48817,469,26049,6,1,1
1/3/2019,12/4/2002,SO48820,470,13958,9,1,1
1/3/2019,9/10/2002,SO48815,471,17700,10,1,1
1/3/2019,10/11/2002,SO48818,472,15497,4,1,1
1/3/2019,11/15/2002,SO48821,473,23344,9,1,1
1/3/2019,12/16/2002,SO48816,474,12459,10,1,1
1/4/2019,9/15/2002,SO48827,475,26729,1,1,1
1/4/2019,10/25/2002,SO48825,476,23414,9,1,1
1/4/2019,10/2/2002,SO48829,481,23121,9,1,1
1/4/2019,12/6/2002,SO48822,482,17743,10,1,1
1/4/2019,11/30/2002,SO48824,488,23408,9,1,1
1/4/2019,10/27/2002,SO48828,489,23120,9,1,1
1/4/2019,12/13/2002,SO48823,490,16821,8,1,1
1/4/2019,9/15/2002,SO48826,491,23421,9,1,1
1/5/2019,11/2/2002,SO48835,360,21148,6,1,1
1/5/2019,12/15/2002,SO48832,373,23418,9,1,1
1/5/2019,11/1/2002,SO48831,326,20886,10,1,1
1/5/2019,9/11/2002,SO48836,360,13959,9,1,1
1/5/2019,11/3/2002,SO48834,352,26695,4,1,1
1/5/2019,11/5/2002,SO48833,373,23118,9,1,1
1/5/2019,10/24/2002,SO48830,371,17750,10,1,1
1/6/2019,9/17/2002,SO48838,373,23409,9,1,1
1/6/2019,11/19/2002,SO48837,371,23311,9,1,1
1/7/2019,12/15/2002,SO48841,381,17716,7,1,1
1/7/2019,9/9/2002,SO48845,362,13620,9,1,1
1/7/2019,11/18/2002,SO48843,324,15489,1,1,1
1/7/2019,10/26/2002,SO48839,214,16567,8,1,1
1/7/2019,10/29/2002,SO48847,215,14336,1,1,1
1/7/2019,11/12/2002,SO48844,220,15492,1,1,1
1/7/2019,10/24/2002,SO48846,446,13651,9,1,1
1/7/2019,12/14/2002,SO48840,447,17753,10,1,1
1/7/2019,10/16/2002,SO48842,448,12463,10,1,1
1/8/2019,11/24/2002,SO48855,449,13955,9,1,1
1/8/2019,11/8/2002,SO48857,450,26652,9,1,1
1/8/2019,11/30/2002,SO48852,451,15503,1,1,1
1/8/2019,10/3/2002,SO48851,452,26717,1,1,1
1/8/2019,9/17/2002,SO48853,477,15520,4,1,1
1/8/2019,12/9/2002,SO48856,478,13967,9,1,1
1/8/2019,9/24/2002,SO48849,479,28904,7,1,1
1/8/2019,9/21/2002,SO48854,480,13643,9,1,1
1/8/2019,11/29/2002,SO48850,483,29361,7,1,1
1/8/2019,9/29/2002,SO48848,484,19424,10,1,1
1/9/2019,12/4/2002,SO48862,485,26805,4,1,1
1/9/2019,9/28/2002,SO48858,486,15455,7,1,1
1/9/2019,12/22/2002,SO48864,487,13964,9,1,1
1/9/2019,10/23/2002,SO48860,528,13849,1,1,1
1/9/2019,11/20/2002,SO48863,529,26718,4,1,1
1/9/2019,12/15/2002,SO48865,530,24924,9,1,1
1/9/2019,9/21/2002,SO48859,535,16603,8,1,1
1/9/2019,10/8/2002,SO48861,536,26786,4,1,1
1/9/2019,12/11/2002,SO48866,537,13527,9,1,1
1/10/2019,12/5/2002,SO48871,538,20736,6,1,1
1/10/2019,11/8/2002,SO48869,539,23314,9,1,1
1/10/2019,11/29/2002,SO48868,540,19320,7,1,1
1/10/2019,12/19/2002,SO48870,541,23316,9,1,1
1/10/2019,10/7/2002,SO48876,334,26588,9,1,1
1/10/2019,11/4/2002,SO48872,334,15483,4,1,1
1/10/2019,11/13/2002,SO48867,373,15451,7,1,1
1/10/2019,12/26/2002,SO48877,328,26657,9,1,1
1/10/2019,10/21/2002,SO48875,381,24922,9,1,1
1/10/2019,11/13/2002,SO48874,360,13970,9,1,1
1/11/2019,12/19/2002,SO48883,356,13528,9,1,1
1/11/2019,11/7/2002,SO48884,389,24921,9,1,1
1/11/2019,10/19/2002,SO48881,371,23324,9,1,1
1/11/2019,12/21/2002,SO48880,368,13746,4,1,1
1/11/2019,10/16/2002,SO48879,362,12526,10,1,1
1/11/2019,12/12/2002,SO48878,375,17715,10,1,1
1/11/2019,11/20/2002,SO48882,362,26801,4,1,1
1/12/2019,12/12/2002,SO48888,328,15482,4,1,1
1/12/2019,11/2/2002,SO48890,358,13618,9,1,1
1/12/2019,10/19/2002,SO48891,360,13650,9,1,1
1/12/2019,11/19/2002,SO48889,362,26711,4,1,1
1/12/2019,11/29/2002,SO48887,356,26811,4,1,1
1/12/2019,10/13/2002,SO48886,352,12473,10,1,1
1/12/2019,10/15/2002,SO48885,371,17755,10,1,1
1/13/2019,10/27/2002,SO48899,373,23313,9,1,1
1/13/2019,10/14/2002,SO48902,358,13966,9,1,1
1/13/2019,9/29/2002,SO48898,373,13856,4,1,1
1/13/2019,9/25/2002,SO48896,373,17632,10,1,1
1/13/2019,9/28/2002,SO48903,342,26653,9,1,1
1/13/2019,9/19/2002,SO48901,214,13960,9,1,1
1/13/2019,10/11/2002,SO48893,215,17772,10,1,1
1/13/2019,12/14/2002,SO48900,220,26734,1,1,1
1/13/2019,11/2/2002,SO48895,446,19418,10,1,1
1/13/2019,11/21/2002,SO48894,447,19034,8,1,1
1/13/2019,12/23/2002,SO48892,448,17714,7,1,1
1/13/2019,10/16/2002,SO48897,449,16540,8,1,1
1/14/2019,11/23/2002,SO48905,450,26814,1,1,1
1/14/2019,11/14/2002,SO48904,451,12492,10,1,1
1/14/2019,11/15/2002,SO48906,452,26705,4,1,1
1/14/2019,10/11/2002,SO48908,477,13626,9,1,1
1/14/2019,9/24/2002,SO48907,478,26727,1,1,1
1/14/2019,9/22/2002,SO48909,479,13953,9,1,1
1/15/2019,10/10/2002,SO48916,480,13616,9,1,1
1/15/2019,10/2/2002,SO48913,483,23412,9,1,1
1/15/2019,9/23/2002,SO48919,484,26658,9,1,1
1/15/2019,10/20/2002,SO48918,485,13638,9,1,1
1/15/2019,10/16/2002,SO48914,486,26735,1,1,1
1/15/2019,12/16/2002,SO48911,487,20880,10,1,1
1/15/2019,11/22/2002,SO48915,528,15481,4,1,1
1/15/2019,11/12/2002,SO48917,529,13636,9,1,1
1/15/2019,10/7/2002,SO48912,530,20841,8,1,1
1/15/2019,10/24/2002,SO48910,535,16587,8,1,1
1/16/2019,10/5/2002,SO48920,536,12275,8,1,1
1/16/2019,10/27/2002,SO48924,537,26040,6,1,1
1/16/2019,12/14/2002,SO48926,538,23117,9,1,1
1/16/2019,10/10/2002,SO48925,539,15480,4,1,1
1/16/2019,9/25/2002,SO48922,540,15095,7,1,1
1/16/2019,9/24/2002,SO48923,541,14298,4,1,1
1/16/2019,10/23/2002,SO48929,223,13526,9,1,1
1/16/2019,10/19/2002,SO48930,226,15086,7,1,1
1/16/2019,9/25/2002,SO48921,229,12560,10,1,1
1/16/2019,12/25/2002,SO48928,232,15502,1,1,1
1/16/2019,12/1/2002,SO48927,235,26703,1,1,1
1/17/2019,11/11/2002,SO48933,445,26694,1,1,1
1/17/2019,11/10/2002,SO48934,453,26710,4,1,1
1/17/2019,9/20/2002,SO48931,454,19382,10,1,1
1/17/2019,12/17/2002,SO48936,455,13644,9,1,1
1/17/2019,11/28/2002,SO48932,456,14297,4,1,1
1/17/2019,11/26/2002,SO48937,457,13529,9,1,1
1/17/2019,11/16/2002,SO48935,458,15518,4,1,1
1/18/2019,11/25/2002,SO48943,459,13973,9,1,1
1/18/2019,11/19/2002,SO48938,460,17720,10,1,1
1/18/2019,12/20/2002,SO48942,461,26728,4,1,1
1/18/2019,11/6/2002,SO48944,462,25010,9,1,1
1/18/2019,11/30/2002,SO48940,464,20835,8,1,1
1/18/2019,12/13/2002,SO48939,466,15462,7,1,1
1/18/2019,10/24/2002,SO48941,468,26013,6,1,1
1/19/2019,10/24/2002,SO48949,469,26591,9,1,1
1/19/2019,10/1/2002,SO48946,470,26725,1,1,1
1/19/2019,12/27/2002,SO48947,471,13957,9,1,1
1/19/2019,10/19/2002,SO48945,472,17644,10,1,1
1/19/2019,10/2/2002,SO48948,473,13974,9,1,1
1/20/2019,12/3/2002,SO48951,474,29388,7,1,1
1/20/2019,9/27/2002,SO48955,475,13645,9,1,1
1/20/2019,10/22/2002,SO48952,476,15093,7,1,1
1/20/2019,11/25/2002,SO48950,481,12486,10,1,1
1/20/2019,10/29/2002,SO48956,482,13968,9,1,1
1/20/2019,11/28/2002,SO48953,488,23413,9,1,1
1/20/2019,12/20/2002,SO48954,489,26724,1,1,1
1/21/2019,12/26/2002,SO48961,490,13619,9,1,1
1/21/2019,12/9/2002,SO48960,491,26726,1,1,1
1/21/2019,12/4/2002,SO48959,375,23417,9,1,1
1/21/2019,12/25/2002,SO48962,362,13649,9,1,1
1/21/2019,10/14/2002,SO48957,332,20836,8,1,1
1/21/2019,1/3/2003,SO48958,377,23310,9,1,1
1/21/2019,11/30/2002,SO48963,383,25011,9,1,1
1/22/2019,10/8/2002,SO48973,336,26656,9,1,1
1/22/2019,12/20/2002,SO48968,214,13742,1,1,1
1/22/2019,10/19/2002,SO48966,215,17639,10,1,1
1/22/2019,11/10/2002,SO48967,220,14292,4,1,1
1/22/2019,10/31/2002,SO48970,446,26529,6,1,1
1/22/2019,10/9/2002,SO48971,447,13625,9,1,1
1/22/2019,1/6/2003,SO48972,448,13629,9,1,1
